"id","titulo","adulto","orcamento","idioma_original","popularidade","data_de_estreia","resumo","receita","duracao","ator_1","ator_2","ator_3","ator_4","ator_5","dirigido_por","escrito_por_1","escrito_por_2","historia_original"
28736,"Hot Lead & Cold Feet",False,0,"en",2.0,"1978-07-05","Twin brothers -- one rough and tough, the other a city-bred milquetoast -- compete for their father's fortune.",0.0,90.0,"Jim Dale","Karen Valentine","Don Knotts","Jack Elam","Darren McGavin","Robert Butler","","",""
209406,"The Right Kind of Wrong",False,0,"en",10.0,"2013-10-11","Leo the dishwasher falls in love with a bride on the day of her wedding - to another man.",0.0,97.0,"Ryan Kwanten","Catherine O'Hara","Will Sasso","Sara Canning","Ryan McPartlin","Jeremiah S. Chechik","Megan Martin","",""
32946,"Jim Jefferies: Contraband",False,0,"en",1.0,"2008-11-10","Last year’s critically acclaimed show ‘30’ sold out every night at the Edinburgh Festival and his UK and US tours. From those tours, Jeffries, the controversial Aussie stand-up, brings you his debut DVD, Contraband Live.Succeeding with jokes that most comedians wouldn't touch, and an ability to both charm and offend the crowd in equal measure, Jim is regarded as one of comedy’s fastest rising young stars. His brash confrontational style has made him one of the most sought after comics on the world stage, appearing on numerous TV shows and performing at all the major comedy and music festivals across Europe and the US. He has hosted the NME Awards in LA and narrowly avoided being bombed whilst performing to the troops in Iraq.",0.0,72.0,"Jim Jefferies","","","","","","","",""
15497,"Twelve O'Clock High",False,0,"en",5.0,"1949-12-21","In this story of the early days of daylight bombing raids over Germany, General Frank Savage must take command of a ""hard luck"" bomber group. Much of the story deals with his struggle to whip his group into a disciplined fighting unit in spite of heavy losses, and withering attacks by German fighters over their targets. --KC Hunt",3225000.0,132.0,"Gregory Peck","Hugh Marlowe","Gary Merrill","Millard Mitchell","Dean Jagger","Henry King","Sy Bartlett","Beirne Lay Jr.",""
392142,"Max & Leon",False,12156348,"fr",10.0,"2016-11-01","In this WW2 epic comedy – in the vein of “La Grande Vadrouille” – our two heroes, Max and Léon, two lazy and partier pals, will try by all possible means to avoid going in the battle zone… This will lead the duo to demented and wild adventures.",7900000.0,98.0,"Grégoire Ludig","David Marsais","Bernard Farcy","Dominique Pinon","Julien Pestel","Jonathan Barré","","",""
18562,"Gung Ho!",False,0,"en",1.0,"1943-12-20","A true-life epic that revolves around an exclusive bataillon of the U.S. Marine Corps during World War II, ""Carlson's Raiders,"" whose assignment is to take control of a South Pacific island once possessed by the United States but now under Japanese command.",0.0,88.0,"Randolph Scott","Alan Curtis","Noah Beery, Jr.","J. Carrol Naish","Sam Levene","Ray Enright","Lucien Hubbard","",""
445224,"Extraordinary Mission",False,0,"zh",4.0,"2017-03-31","‘Extraordinary Mission’ is a new Chinese action thriller directed by Alan Mak (‘Infernal Affairs’) and Anthony Pun.  The film revolves an undercover police officer who attempts to take down a drug trafficking syndicate from the inside. The cast includes Huang Xuan, Duan Yihong, Lang Yueting, Zu Feng, Xing Jia-Dong, and David Wang.",0.0,117.0,"Huang Xuan","Duan Yihong","Lang Yueting","Zu Feng","Xing Jiadong","Alan Mak","","",""
39514,"RED",False,58000000,"en",23.0,"2010-10-13","When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",71664962.0,111.0,"Bruce Willis","John Malkovich","Helen Mirren","Mary-Louise Parker","Karl Urban","Robert Schwentke","","",""
130296,"Sinful Davey",False,0,"es",1.0,"1969-02-10","Davey Haggart is quite certain of his paternity (even if nobody else is) and determined to emulate his father, a notorious rogue and highwayman. This includes breaking a man out of Stirling jail, holding up the stagecoach, and robbing the Duke of Argyll, among other feats. Unfortunately, he is handicapped by the fact that his childhood playmate Annie is equally determined to track him down and save his soul...",0.0,95.0,"John Hurt","Pamela Franklin","Nigel Davenport","Ronald Fraser","Robert Morley","John Huston","","",""
338518,"Age Of Kill",False,0,"en",0.0,"2015-06-15","A black ops sniper is blackmailed by a psychotic international terrorist into killing 6 unrelated people in 6 hours... but there is more to the victims than meets the eye.",0.0,85.0,"Martin Kemp","Patrick Bergin","April Pearson","Nick Moran","Anouska Mond","Neil Jones","","",""
33375,"My Bollywood Bride",False,0,"hi",1.0,"2006-01-14","The story of Alex, a copy-writer dreaming of being an adventure novelist someday, who meets and romances Indian beauty Reena, while she is vacationing in California. Torn by her blossoming feelings for Alex and her Indian family values and obligations, Reena returns home without saying goodbye. Alex, distraught by the turn of events, decides to follow her to Mumbai and win her back.",0.0,95.0,"Jason Lewis","Kashmira Shah","Gulshan Grover","Sanjay Suri","Neha Dubey","Rajeev Virani","Kashmira Shah","Richard Martini",""
82029,"Itinéraire bis",False,0,"fr",1.0,"2011-08-03","35-year-old Jean still lives with his mother in a small village in Corsica and works as a cook in the family's restaurant. His future, to his great despair, is all mapped out: he'll take over the restaurant. But one day Nora, a young and forceful woman, is thrown into the sea from a racing yacht. She washes up on the beach at Jean's feet - adventure has at last knocked at his door.",0.0,80.0,"Fred Testot","Leïla Bekhti","Jean-François Stévenin","Catherine Gandois","Clément Aubert","Jean-Luc Perreard","","",""
142746,"Take Care of the Women!",False,0,"ru",0.0,"1981-10-01","Young journalist starts working on the ship in order to write a story. The only problem is - all the ships crew are young girls.",0.0,120.0,"Andrey Gradov","Marina Shimanskaya","Svetlana Penkina","Yelena Tonunts","Galina Venevitinova","Viktor Makarov","","",""
31018,"Path to War",False,0,"en",2.0,"2002-01-01","From director John Frankenheimer ('The Manchurian Candidate') comes this powerful drama of soaring ambition and shattered dreams that takes a provocative insider's look at the way our country goes to war--as seen from inside the LBJ White House leading up to and during Vietnam.",0.0,165.0,"Michael Gambon","Donald Sutherland","Alec Baldwin","Bruce McGill","Philip Baker Hall","John Frankenheimer","","",""
